"rt","stimulus","response","phase","prime","target","target_type","task","trial_type","trial_index","time_elapsed","internal_node_id","correct"
"1650","<p style=""font-size: 48px; font-family: monospace;"">BULE</p>","n","test","GRIP","bule","nonword","target","html-keyboard-response","194","143732","0.0-4.0-2.60",""
"880","<p style=""font-size: 48px; font-family: monospace;"">OCEAN</p>","w","test","SEA","ocean","semantic","target","html-keyboard-response","197","145321","0.0-4.0-2.61",""
"1319","<p style=""font-size: 48px; font-family: monospace;"">DORN</p>","w","test","CUP","dorn","nonword","target","html-keyboard-response","200","147366","0.0-4.0-2.62",""
"794","<p style=""font-size: 48px; font-family: monospace;"">LOCK</p>","w","test","KEY","lock","associative","target","html-keyboard-response","203","148882","0.0-4.0-2.63",""
"1064","<p style=""font-size: 48px; font-family: monospace;"">TARL</p>","n","test","PAT","tarl","nonword","target","html-keyboard-response","206","150655","0.0-4.0-2.64",""
"813","<p style=""font-size: 48px; font-family: monospace;"">ANGER</p>","w","test","FURY","anger","semantic","target","html-keyboard-response","209","152190","0.0-4.0-2.65",""
"2478","<p style=""font-size: 48px; font-family: monospace;"">CALINET</p>","n","test","DEVELOPMENT","calinet","nonword","target","html-keyboard-response","212","155380","0.0-4.0-2.66",""
"1312","<p style=""font-size: 48px; font-family: monospace;"">SLAIR</p>","n","test","BLACKBOARD","slair","nonword","target","html-keyboard-response","215","157405","0.0-4.0-2.67",""
"1314","<p style=""font-size: 48px; font-family: monospace;"">BUILDER</p>","w","test","TOSS","builder","unrelated","target","html-keyboard-response","218","159436","0.0-4.0-2.68",""
"1098","<p style=""font-size: 48px; font-family: monospace;"">MAGIC</p>","w","test","PROMISE","magic","unrelated","target","html-keyboard-response","221","161251","0.0-4.0-2.69",""
"2692","<p style=""font-size: 48px; font-family: monospace;"">ELERFY</p>","n","test","FOAM","elerfy","nonword","target","html-keyboard-response","224","164674","0.0-4.0-2.70",""
"2296","<p style=""font-size: 48px; font-family: monospace;"">HAY</p>","w","test","PITCHFORK","hay","associative","target","html-keyboard-response","227","167699","0.0-4.0-2.71",""
"1077","<p style=""font-size: 48px; font-family: monospace;"">WIRE</p>","w","test","ELECTRICIAN","wire","associative","target","html-keyboard-response","230","169494","0.0-4.0-2.72",""
"814","<p style=""font-size: 48px; font-family: monospace;"">ACTION</p>","w","test","DIP","action","unrelated","target","html-keyboard-response","233","171031","0.0-4.0-2.73",""
"2883","<p style=""font-size: 48px; font-family: monospace;"">DENGTH</p>","n","test","DISHES","dength","nonword","target","html-keyboard-response","236","174646","0.0-4.0-2.74",""
